King Soopers
3600 Table Mesa Dr, Boulder, CO 80305
02/06/23 12:18
"Stacy - Pita Chips", "STACY PITA CHIPS", 8.49
"Dannon - Whole Milk Yogurt (Plain)","DANNON YOGURT", 4.29
"Land of Lakes - Unsalted Butter","LOL UNSALTED BUTTE", 6.79
"Dairy Pure - Heavy Whipping Cream", "DAIRY PURE WHP CRM", 6.59
"Yellow Onion","ONION YLW COLOSSAL", 1.69
"Hunts - Whole Peeled Tomatos","HUNT WHL PEELD TOM", 2.49
"Hunts - Whole Peeled Tomatos","HUNT WHL PEELD TOM", 2.49
"Garlic","GARLIC LARGE", 0.50
"Ginger", "GINGER ROOT", 0.54
"Method Mens Body Wash (Cedar)","MTHD CEDAR BODYWASH", 8.49
"Chicken Thigh","CHUNKY ART JAL DIP", 5.49
"Chicken Thigh", "THIGH MEAT", 10.07
"Chicken Thigh", "THIGH MEAT", 9.37
"Simple Truth Organic - Cumin", "STO CUMIN", 3.79
"McCormicks - Coriander", "MCCO CORIANDER", 7.99
"Private Selection - Paprika", "PRSL PAPRIKA", 4.99
"Lint Roller", "SVRY PRM HAIR RLLR", 5.49
"Stonefire - Naan (original)", "STNFR ORIG NAAN", 3.49
"Stonefire - Naan (original)", "STNFR ORIG NAAN", 3.49
"Stonefire - Naan (original)", "STNFR ORIG NAAN", 3.49
"Stonefire - Naan (original)", "STNFR ORIG NAAN", 3.49
"Jalapenos", "PEPPERS JALAPENO", 0.14
